Date,Home Team,Away Team,Difference doubles,Difference triples,Difference homeruns,Difference hits,Difference hitbypitch,Difference avg,Difference obp,Difference slg,Difference ops,Difference groundintodoubleplay,Difference leftonbase,Difference strikeouts,Difference baseonballs,Difference whip,Difference strikepercentage,Difference pitchesperinning,Difference homerunsper9,Home Team Won
"April 1, 2025",MIA,NYM,1.0,0.0,0.0,-2.0,0.0,0.05300000000000002,0.035999999999999976,0.028000000000000025,0.06400000000000006,0.0,-6.0,-3.0,0.0,0.15999999999999992,-0.040000000000000036,1.5099999999999998,-0.1299999999999999,True
"April 1, 2025",TB,PIT,1.0,1.0,1.0,1.0,0.0,0.10699999999999998,0.08700000000000002,0.16699999999999998,0.254,-1.0,2.0,11.0,-6.0,-0.6900000000000001,0.08999999999999997,-5.0699999999999985,-1.13,True
"April 1, 2025",NYY,AZ,0.0,0.0,1.0,0.0,0.0,-0.009000000000000008,-0.0010000000000000009,0.20399999999999996,0.20300000000000007,-1.0,-3.0,-3.0,4.0,0.06000000000000005,-0.07000000000000006,-1.0,-1.0,False
"April 1, 2025",TOR,WSH,-3.0,0.0,0.0,6.0,1.0,0.06199999999999997,0.065,-0.013000000000000012,0.052000000000000046,1.0,10.0,5.0,2.0,-0.43999999999999995,0.0,-2.2799999999999994,0.0,True
"April 1, 2025",CWS,MIN,0.0,0.0,0.0,-1.0,-1.0,0.048000000000000015,0.02899999999999997,0.138,0.16700000000000004,-1.0,-5.0,-6.0,5.0,-0.5,-0.030000000000000027,-1.4399999999999977,0.0,False
"April 1, 2025",MIL,KC,-3.0,0.0,2.0,3.0,-1.0,-0.006000000000000005,-0.019000000000000017,-0.02899999999999997,-0.04800000000000004,1.0,1.0,1.0,1.0,0.54,-0.020000000000000018,0.0799999999999983,-2.25,True
"April 1, 2025",STL,LAA,-1.0,-1.0,1.0,1.0,0.0,0.08799999999999997,0.09299999999999997,0.179,0.272,-1.0,17.0,-3.0,-1.0,-0.30999999999999994,0.020000000000000018,-1.0899999999999999,-0.82,False
"April 1, 2025",HOU,SF,-2.0,0.0,0.0,3.0,-1.0,-0.034999999999999976,-0.008000000000000007,-0.156,-0.16400000000000003,3.0,-6.0,6.0,4.0,0.10999999999999999,-0.05999999999999994,1.7799999999999994,0.0,False
"April 1, 2025",SD,CLE,1.0,0.0,1.0,8.0,-2.0,0.07499999999999998,0.07300000000000001,0.025000000000000022,0.09800000000000009,3.0,10.0,13.0,-4.0,-0.58,0.010000000000000009,-1.3499999999999979,-1.13,True
"April 1, 2025",SEA,DET,-2.0,0.0,-1.0,-7.0,1.0,-0.11400000000000002,-0.063,-0.14300000000000002,-0.20600000000000007,0.0,2.0,6.0,-3.0,0.21999999999999997,0.09000000000000008,2.67,1.0,False
"April 1, 2025",ATH,CHC,-2.0,0.0,0.0,-1.0,0.0,-0.022999999999999993,-0.051000000000000045,-0.045999999999999985,-0.09699999999999998,2.0,-1.0,2.0,1.0,-0.08000000000000007,-0.06000000000000005,5.780000000000001,0.0,False
"April 1, 2025",LAD,ATL,-1.0,0.0,1.0,2.0,2.0,0.089,0.07800000000000001,0.255,0.333,-1.0,-2.0,3.0,4.0,-0.19000000000000017,-0.10999999999999999,-0.10999999999999943,-1.13,True
"April 2, 2025",CIN,TEX,0.0,0.0,0.0,0.0,0.0,0.025999999999999995,0.015000000000000013,0.024999999999999967,0.040000000000000036,0.0,-1.0,-1.0,2.0,-0.21000000000000008,0.08999999999999997,0.5600000000000005,0.0,False
"April 2, 2025",TB,PIT,0.0,-1.0,-1.0,-4.0,-2.0,0.07200000000000001,0.051000000000000045,0.09999999999999998,0.15100000000000002,0.0,-9.0,-3.0,1.0,-0.4899999999999999,-0.039999999999999925,-0.23000000000000043,1.0,False
"April 2, 2025",MIL,KC,1.0,0.0,1.0,4.0,0.0,0.010000000000000009,0.014000000000000012,0.007999999999999952,0.02200000000000002,0.0,20.0,-3.0,-6.0,0.22999999999999998,0.020000000000000018,-7.309999999999999,-0.87,True
"April 2, 2025",STL,LAA,0.0,0.0,1.0,6.0,-2.0,0.09999999999999998,0.11399999999999999,0.188,0.30200000000000005,1.0,12.0,2.0,-7.0,-0.5199999999999999,0.10999999999999999,-7.489999999999998,-1.38,True
