hits (Home-Away),homeruns (Home-Away),leftonbase (Home-Away),obp (Home-Away),slg (Home-Away),strikeouts (Home-Away),strikepercentage (Home-Away),whip (Home-Away),SP ERA (Home-Away),y
1.0,1.0,2.0,0.08700000000000002,0.16699999999999998,11.0,0.08999999999999997,-0.6900000000000001,-13.5,1
0.0,1.0,-3.0,-0.0010000000000000009,0.20399999999999996,-3.0,-0.07000000000000006,0.06000000000000005,-0.5500000000000003,0
6.0,0.0,10.0,0.065,-0.013000000000000012,5.0,0.0,-0.43999999999999995,-2.22,1
-1.0,0.0,-5.0,0.02899999999999997,0.138,-6.0,-0.030000000000000027,-0.5,-1.3199999999999998,0
3.0,2.0,1.0,-0.019000000000000017,-0.02899999999999997,1.0,-0.020000000000000018,0.54,-5.06,1
1.0,1.0,17.0,0.09299999999999997,0.179,-3.0,0.020000000000000018,-0.30999999999999994,1.5,0
3.0,0.0,-6.0,-0.008000000000000007,-0.156,6.0,-0.05999999999999994,0.10999999999999999,4.11,0
8.0,1.0,10.0,0.07300000000000001,0.025000000000000022,13.0,0.010000000000000009,-0.58,-6.75,1
-7.0,-1.0,2.0,-0.063,-0.14300000000000002,6.0,0.09000000000000008,0.21999999999999997,5.4,0
-1.0,0.0,-1.0,-0.051000000000000045,-0.045999999999999985,2.0,-0.06000000000000005,-0.08000000000000007,2.0999999999999996,0
2.0,1.0,-2.0,0.07800000000000001,0.255,3.0,-0.10999999999999999,-0.19000000000000017,-5.4,1
0.0,0.0,-1.0,0.015000000000000013,0.024999999999999967,-1.0,0.08999999999999997,-0.21000000000000008,1.29,0
-4.0,-1.0,-9.0,0.051000000000000045,0.09999999999999998,-3.0,-0.039999999999999925,-0.4899999999999999,3.6,0
4.0,1.0,20.0,0.014000000000000012,0.007999999999999952,-3.0,0.020000000000000018,0.22999999999999998,-0.6799999999999999,1
